sku,category,product_type,cost,elasticity_phase3_mean,elasticity_phase3_sd,elasticity_phase2
SKU_001,Electronics,Seasonal,412.67,-1.246,0.053,-1.1979315441611216
SKU_002,Electronics,Seasonal,550.55,-1.259,0.056,-1.1979315441611216
SKU_003,Electronics,Commodity,596.12,-2.045,0.054,-2.033609888732271
SKU_004,Electronics,Promo Sensitive,578.29,-1.766,0.074,-1.8034774021814486
SKU_005,Electronics,Seasonal,218.33,-1.258,0.055,-1.1979315441611216
SKU_006,Electronics,Seasonal,743.73,-1.257,0.056,-1.1979315441611216
SKU_007,Electronics,Premium,421.64,-0.879,0.059,-0.8220217146558693
SKU_008,Electronics,Seasonal,298.61,-1.261,0.058,-1.1979315441611216
SKU_009,Electronics,Commodity,129.78,-2.04,0.055,-2.033609888732271
SKU_010,Electronics,Seasonal,613.29,-1.254,0.055,-1.1979315441611216
SKU_011,Electronics,Commodity,345.6,-2.039,0.054,-2.033609888732271
SKU_012,Electronics,Commodity,194.87,-2.035,0.056,-2.033609888732271
SKU_013,Electronics,Promo Sensitive,193.66,-1.779,0.07,-1.8034774021814486
SKU_014,Electronics,Commodity,608.59,-2.035,0.056,-2.033609888732271
SKU_015,Electronics,Premium,154.92,-0.897,0.06,-0.8220217146558693
SKU_016,Fitness,Premium,452.17,-0.892,0.059,-0.8220217146558693
SKU_017,Fitness,Commodity,40.84,-2.032,0.057,-2.033609888732271
SKU_018,Fitness,Commodity,487.34,-2.031,0.055,-2.033609888732271
SKU_019,Fitness,Premium,608.36,-0.896,0.061,-0.8220217146558693
SKU_020,Fitness,Premium,556.9,-0.879,0.059,-0.8220217146558693
SKU_021,Fitness,Seasonal,299.41,-1.232,0.058,-1.1979315441611216
SKU_022,Fitness,Commodity,64.3,-2.04,0.056,-2.033609888732271
SKU_023,Fitness,Seasonal,227.2,-1.242,0.055,-1.1979315441611216
SKU_024,Fitness,Promo Sensitive,57.53,-1.781,0.071,-1.8034774021814486
SKU_025,Fitness,Commodity,124.06,-2.041,0.055,-2.033609888732271
SKU_026,Home,Promo Sensitive,298.2,-1.786,0.072,-1.8034774021814486
SKU_027,Home,Commodity,244.98,-2.049,0.057,-2.033609888732271
SKU_028,Home,Commodity,25.44,-2.031,0.057,-2.033609888732271
SKU_029,Home,Commodity,300.59,-2.033,0.056,-2.033609888732271
SKU_030,Home,Premium,31.06,-0.886,0.059,-0.8220217146558693
SKU_031,Home,Promo Sensitive,365.74,-1.782,0.07,-1.8034774021814486
SKU_032,Home,Commodity,50.46,-2.033,0.055,-2.033609888732271
SKU_033,Home,Premium,381.33,-0.87,0.061,-0.8220217146558693
SKU_034,Home,Premium,151.24,-0.891,0.057,-0.8220217146558693
SKU_035,Home,Premium,101.59,-0.885,0.059,-0.8220217146558693
SKU_036,Home,Seasonal,192.68,-1.251,0.054,-1.1979315441611216
SKU_037,Home,Premium,84.92,-0.89,0.059,-0.8220217146558693
SKU_038,Home,Seasonal,311.33,-1.251,0.053,-1.1979315441611216
SKU_039,Home,Seasonal,47.31,-1.241,0.056,-1.1979315441611216
SKU_040,Home,Promo Sensitive,290.89,-1.783,0.072,-1.8034774021814486
SKU_041,Outdoor,Seasonal,473.08,-1.253,0.054,-1.1979315441611216
SKU_042,Outdoor,Seasonal,276.83,-1.247,0.053,-1.1979315441611216
SKU_043,Outdoor,Seasonal,150.76,-1.242,0.054,-1.1979315441611216
SKU_044,Outdoor,Premium,388.14,-0.886,0.06,-0.8220217146558693
SKU_045,Outdoor,Promo Sensitive,122.31,-1.784,0.072,-1.8034774021814486
SKU_046,Outdoor,Premium,131.41,-0.895,0.059,-0.8220217146558693
SKU_047,Outdoor,Commodity,329.89,-2.039,0.056,-2.033609888732271
SKU_048,Outdoor,Commodity,165.68,-2.044,0.056,-2.033609888732271
SKU_049,Outdoor,Seasonal,108.05,-1.249,0.055,-1.1979315441611216
SKU_050,Outdoor,Seasonal,662.31,-1.242,0.055,-1.1979315441611216
